Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDN40,OUT045,2223.5901765549493
FDB35,OUT027,2153.8708232259823
FDA22,OUT017,3120.1888083799613
NCL06,OUT046,3882.9011164477556
FDI35,OUT013,3280.553466864287
NCW42,OUT045,3502.8134098444993
NCX06,OUT049,2881.882576120737
FDC37,OUT027,2700.630027687097
FDZ14,OUT018,1851.5456757354214
DRG49,OUT049,3845.4203688003686
NCG06,OUT045,3768.3243564489526
DRC36,OUT045,3029.1194738174404
FDV21,OUT019,206.09606837744042
FDB53,OUT046,2809.1546251277005
DRP47,OUT019,686.5015356850341
FDA14,OUT013,2528.9007357335013
DRC24,OUT035,2463.171249757435
FDW21,OUT018,1659.9218539652945
NCH29,OUT046,1863.2863457286026
FDU58,OUT013,3027.976767591567
FDY27,OUT017,2693.095469410557
FDV56,OUT035,1918.0822543574552
FDT59,OUT046,3717.962778002767
FDB23,OUT046,3592.1163438729313
FDR49,OUT045,588.7999775911297
FDB03,OUT010,994.4474767188053
FDN39,OUT045,2435.3290717453046
FDX02,OUT027,5418.935304118433
FDQ16,OUT027,2794.2201017262482
FDU35,OUT018,1423.8652838577584
NCT29,OUT013,2005.3676795018362
FDZ27,OUT046,634.5331514693573
FDN57,OUT017,2255.6255857546166
FDA03,OUT018,2103.9567835598104
FDZ36,OUT045,2854.1706958626137
NCU05,OUT013,1235.1307971441124
FDT39,OUT018,2057.624309562944
FDK60,OUT017,1674.244524818802
FDZ25,OUT017,2850.5882577539164
FDG12,OUT046,2086.4737039928523
DRB01,OUT019,497.2884073204661
NCC43,OUT027,6309.716897036429
FDX13,OUT019,885.497206405765
FDM22,OUT049,948.4682100321427
FDJ03,OUT027,1412.2792829079224
FDU14,OUT018,3566.291794262616
FDB33,OUT010,542.4938713016954
FDP27,OUT046,3458.015131521149
FDO38,OUT010,170.29620252166762
FDE28,OUT027,5696.423201032876
FDO27,OUT035,1630.8755040616818
DRL23,OUT027,2851.922594279167
FDS28,OUT046,861.9643626164192
FDX24,OUT013,1596.5625172488767
FDZ02,OUT035,1695.4302015157875
FDL46,OUT045,1794.6351510342695
FDS60,OUT027,4640.648344488838
NCO06,OUT017,667.418873283897
FDO16,OUT035,1522.7483616137702
FDC60,OUT049,1803.2138025188247
FDA48,OUT018,3104.8212720940023
FDZ36,OUT027,3953.517709626049
FDK27,OUT045,1999.3263134695571
FDW23,OUT018,258.3010679323382
FDM14,OUT018,1603.3115577810413
FDM14,OUT013,1939.5490408562966
FDW60,OUT018,2484.824823472684
FDE21,OUT013,2000.33335526647
NCM42,OUT035,1959.096110038364
FDY59,OUT010,-169.56247846671815
DRI49,OUT049,1348.1793418902569
FDT28,OUT019,553.1740052031951
FDQ22,OUT018,514.8685445730131
FDR60,OUT049,1185.6860606947773
FDC50,OUT019,227.55414253450718
FDV24,OUT013,2267.5401010086607
DRF48,OUT010,630.484258510086
FDQ47,OUT046,395.07996401382957
DRN36,OUT049,1665.2152909125475
NCY06,OUT035,2169.3756794306137
FDE52,OUT035,1464.3552195357868
NCB54,OUT045,2054.795782487162
NCF31,OUT035,2549.7251250459663
FDJ08,OUT027,5125.567335136586
NCC07,OUT017,1731.3597237534277
NCD19,OUT027,1609.0029763558302
FDL46,OUT049,1848.0369382842723
FDM20,OUT045,3948.3210779824226
NCI06,OUT010,491.89927925350895
DRM11,OUT035,3891.380765211017
NCH07,OUT018,2515.146244472379
FDS23,OUT013,2251.046349185594
FDO49,OUT018,601.22654641259
FDS35,OUT049,1063.1108017153415
DRK39,OUT045,1281.2930326850808
DRI39,OUT049,972.0913198188259
FDV04,OUT017,2563.235249315637
NCN14,OUT035,2840.2054838088916
FDH08,OUT013,3788.9960099585664
FDS20,OUT046,2758.5727726446858
FDV40,OUT049,1279.4863894627406
FDZ48,OUT010,314.5677748297732
FDS24,OUT027,3150.1099855293955
FDK44,OUT049,2730.488918065974
FDS48,OUT045,2587.476376002521
FDK26,OUT010,1086.5294343848723
FDD23,OUT045,2861.610947165356
NCH54,OUT017,3033.1166410312603
NCP14,OUT010,11.284855188959511
FDM60,OUT010,-32.902007459606956
FDV24,OUT017,2320.8295998931226
FDH08,OUT018,3345.547165680037
FDS12,OUT027,3546.7136020688345
FDR39,OUT027,5001.84744018427
FDP12,OUT027,1054.935432722208
DRF60,OUT027,5741.625837953159
FDC09,OUT035,1879.822875047775
FDF50,OUT018,2808.478434658724
FDG28,OUT035,3771.803754286651
NCE19,OUT017,1003.88471630342
NCM53,OUT010,310.9249479663463
NCN18,OUT049,1912.7037673325517
FDF32,OUT035,3250.897436766233
FDF11,OUT013,3902.7374026623743
DRI59,OUT049,3763.654447417749
NCG54,OUT035,2884.371221683511
FDM44,OUT046,1646.876098712906
FDT57,OUT018,3372.6491179234617
FDV24,OUT046,2284.015525907443
FDI50,OUT019,885.3431257538413
FDS09,OUT035,847.0970706343185
NCC31,OUT027,4026.4367299789387
FDQ07,OUT019,696.2482980583819
FDC22,OUT017,3273.6711845224336
FDZ56,OUT046,2673.378980786741
FDZ40,OUT019,-18.95544653990395
FDS46,OUT027,3045.591293141877
DRD24,OUT045,2356.7007159247255
FDV45,OUT017,3241.244241419711
FDL26,OUT045,2376.6581799207797
FDA56,OUT018,1868.7089446529335
FDN27,OUT046,1766.1296202039941
FDM20,OUT049,3987.3815649427997
FDO16,OUT017,1522.7483616137702
FDL03,OUT035,2923.759208482611
FDE58,OUT046,1847.1244401633312
FDI02,OUT027,2719.7264807226197
NCC55,OUT019,-37.26884883759879
FDR03,OUT018,3139.850944912751
FDB14,OUT017,1546.8809213094498
FDR45,OUT013,3813.5846714570744
NCN07,OUT017,2166.7016223988503
FDM51,OUT019,79.37262167369921
FDT52,OUT027,5696.423201032876
FDL26,OUT046,2395.3699393605616
NCZ42,OUT046,3845.532755322138
DRI47,OUT019,372.7215694319518
FDW40,OUT013,2410.2515592781447
FDN34,OUT046,2824.9381504803937
FDS01,OUT035,2806.2976865170594
NCG55,OUT045,1854.2905880250266
FDC11,OUT035,1376.7294996872126
FDX35,OUT018,2949.2110292296284
NCB06,OUT046,2686.745490082787
FDR09,OUT019,888.7371125810675
FDC53,OUT017,1629.3342187759552
FDY45,OUT013,3980.850827838267
FDA22,OUT010,651.2323968912937
FDE02,OUT035,1645.027873575094
FDW21,OUT045,1885.9903372844774
FDV34,OUT046,1171.3399459047298
FDS59,OUT049,1934.865507460723
NCW17,OUT017,2164.7239486972626
NCK54,OUT046,1976.5066847999178
FDG17,OUT019,738.1051494555148
FDG35,OUT017,2607.204457316093
FDD08,OUT010,-15.329884163154206
NCO07,OUT017,3591.329104981488
FDJ10,OUT010,426.98842793843716
FDW36,OUT017,1776.7747868708302
FDW21,OUT010,-0.9148269467018448
FDY19,OUT017,1916.950914113431
DRE03,OUT013,786.470251493498
NCC55,OUT049,543.025487360574
FDH52,OUT010,-1.8978575582715014
FDO09,OUT017,3854.519567291869
FDU43,OUT045,3606.879895912774
FDX09,OUT010,529.169609095682
FDH40,OUT019,80.5380704585947
FDW58,OUT017,1593.1544771935003
FDC47,OUT017,3692.092668672766
NCR41,OUT035,1502.3351920267035
DRG49,OUT035,3851.710696186408
FDC52,OUT027,3913.661549710877
FDY13,OUT046,1128.8223071729128
FDY35,OUT013,819.257166372072
FDI35,OUT017,3313.3251683913663
NCU18,OUT049,2534.60926955055
FDY33,OUT018,2462.998796112801
FDC15,OUT027,4362.262033555602
FDU01,OUT049,2900.6115935455473
NCU42,OUT046,2693.7726985580125
NCV29,OUT018,2788.868015973858
NCY30,OUT017,3050.0471343965687
FDQ46,OUT049,1853.1389660802308
FDG58,OUT027,4082.896545647449
FDK33,OUT017,3598.8247172869883
NCD07,OUT045,1883.122307668589
NCX29,OUT027,3829.7874543880475
NCT42,OUT013,2277.99385643852
DRN59,OUT035,740.1054027170891
FDI44,OUT035,1339.9198222630018
FDA45,OUT049,2376.4220627606155
FDP31,OUT045,1128.358812163705
FDY01,OUT046,1797.5921952044635
FDT09,OUT018,2168.2778621587013
DRH03,OUT027,2743.360843416824
FDA36,OUT018,2437.3887555499173
NCF31,OUT017,2566.035484078059
FDG14,OUT049,2548.720899059113
FDG28,OUT027,5854.274521634581
FDU14,OUT049,3869.679808845334
FDY47,OUT019,124.13742155901593
FDI56,OUT049,1601.630033495562
DRD01,OUT013,922.4169801383854
FDM22,OUT046,967.199708806364
FDH33,OUT013,726.732908520573
DRZ24,OUT013,2012.1562680309212
NCQ38,OUT046,1693.617893000002
FDO16,OUT027,2639.0305325688655
FDU07,OUT027,3949.1485990044275
NCB07,OUT013,2878.669907924223
FDU48,OUT045,2114.6485186132877
NCM43,OUT045,2820.0442374782065
FDR31,OUT010,431.35641357729327
DRK49,OUT018,583.2884194204346
NCI30,OUT010,1114.2893691687866
DRD60,OUT017,2985.855649651082
NCG19,OUT046,3569.418190794539
FDH12,OUT035,1796.0226827272768
FDM32,OUT035,1469.7275168808326
FDM27,OUT035,2876.8978418752536
NCU53,OUT027,3721.9585743493894
NCQ18,OUT046,1654.3455906883667
FDS10,OUT013,2787.9759086384183
FDB33,OUT027,4419.360906847517
FDI12,OUT013,1613.8086920249118
NCW42,OUT013,3532.3948695084623
NCC06,OUT018,1784.6529388950169
FDW02,OUT017,2347.5664822169683
NCD43,OUT017,1629.3342187759552
FDM57,OUT018,908.9694698775837
FDA58,OUT017,3819.3132066683993
FDK56,OUT046,2829.0043572267036
FDP52,OUT045,3508.791499056218
FDW20,OUT018,1708.8109774877803
FDS52,OUT049,1721.1444372262388
NCT29,OUT018,1669.1301964265813
NCL54,OUT013,3044.3600985124403
FDC05,OUT045,3235.0023917492936
FDF34,OUT035,3145.918259072384
FDP03,OUT027,3363.0680785284326
FDD32,OUT010,215.05026841135185
FDZ10,OUT045,2093.9812893487174
FDZ40,OUT035,869.8122396625732
FDD51,OUT018,552.9283061058389
NCY30,OUT019,674.1051590737527
FDP58,OUT017,3376.936575932015
FDV49,OUT017,3999.5599606735427
FDY24,OUT019,-412.3515260314437
NCO55,OUT017,1716.8715406991475
FDR13,OUT017,1779.1365468073247
FDS51,OUT017,1128.3237147060183
FDP26,OUT045,1809.2981309117242
NCB54,OUT027,3572.2161785032126
FDF32,OUT017,3250.897436766233
FDN31,OUT018,2765.815007382678
DRM48,OUT017,601.9517609110356
FDN20,OUT049,2764.7558892298603
DRL01,OUT046,3620.7187246986223
FDV56,OUT049,1894.3045482008943
DRH13,OUT027,3502.5044662330424
FDA03,OUT017,2464.4473039669347
FDF47,OUT027,5900.716238866901
FDX32,OUT046,2529.7176585380876
FDX57,OUT049,1731.9307345158466
NCA30,OUT045,2849.08844826026
FDO49,OUT013,727.1557425629929
FDL04,OUT019,294.40514910998735
DRM48,OUT035,601.9517609110356
FDR16,OUT013,3526.736411931298
NCC19,OUT018,2645.7900957371517
NCE42,OUT045,3585.5127853375693
FDY24,OUT017,1223.7121441169318
FDH19,OUT049,2758.9520637416667
FDJ46,OUT013,2715.1969494591017
FDN45,OUT010,1084.1817879002513
FDY08,OUT035,2440.9258607874303
FDZ37,OUT035,1427.3251514796998
NCT30,OUT045,668.3440863711011
DRY23,OUT018,516.9459128867795
NCZ30,OUT018,1886.3302365770023
FDC44,OUT018,1528.3489909815557
FDB45,OUT035,1579.9649073824671
FDY04,OUT013,2703.593279518687
FDM27,OUT046,3021.624549001424
FDZ43,OUT017,3856.2230804276132
FDT39,OUT019,281.9690768850407
NCC06,OUT019,442.1520502669573
FDL15,OUT027,3670.415987137158
FDL57,OUT017,3966.8615332256454
FDU08,OUT046,1715.1420906418334
FDK40,OUT017,4252.524223263245
FDQ12,OUT010,831.6013752008632
FDS48,OUT017,2649.8295371935633
FDP09,OUT045,3075.926638990274
FDW21,OUT049,1931.878152010435
FDY25,OUT035,3145.101662738555
DRE13,OUT017,1582.3863734501333
FDV43,OUT019,41.87278501625758
FDD22,OUT045,1733.6695215362356
FDM46,OUT019,-167.48958602827096
NCO30,OUT010,700.5298959172642
FDM25,OUT046,3013.0569324019693
NCN41,OUT049,2073.0950487367127
FDU24,OUT045,1633.0770403247463
FDZ50,OUT046,3142.6414872403093
FDP45,OUT013,3832.533959498481
NCM54,OUT045,2089.108358694784
FDW10,OUT019,499.9525644094687
FDP20,OUT017,2018.5647079902435
FDK32,OUT046,2519.1361940671054
FDN52,OUT049,1613.8086920249118
FDM58,OUT045,1910.4242563371367
FDZ46,OUT027,2976.6165804963593
NCA18,OUT018,1467.3436704498629
FDD35,OUT046,2080.1194244510416
NCK31,OUT035,745.3872089385194
FDI40,OUT027,3123.011128301682
FDT50,OUT019,-174.71589120943554
NCT06,OUT046,2681.6771452892513
FDT31,OUT035,3130.7749329848843
FDT45,OUT049,852.7486354099477
FDT13,OUT045,3130.952457448227
FDO50,OUT045,1545.017600797181
NCU18,OUT010,425.10126022885635
NCR54,OUT049,3213.2528045852205
NCO18,OUT018,2781.4299138957235
FDU09,OUT045,842.057314871763
FDT13,OUT018,2824.2964340369354
FDE09,OUT046,1771.1386306179575
NCK53,OUT019,73.39453246198019
FDG45,OUT049,3606.5203025182323
DRH15,OUT035,650.3782747252449
FDO21,OUT019,729.7526079206311
FDD14,OUT027,4981.59131126206
FDC09,OUT046,1845.175468667033
FDH45,OUT027,1196.763168125899
FDV32,OUT046,1118.0937310952595
FDG12,OUT035,2056.4462833048788
FDS32,OUT013,2389.3535036647904
NCL55,OUT018,3451.2538576182797
DRE01,OUT035,3909.4627179363447
DRE15,OUT049,1330.508354140188
NCL42,OUT045,3835.2254185274373
FDP31,OUT013,974.8445835666769
FDN33,OUT018,1342.4538595514593
FDZ59,OUT046,2652.1654127241513
FDE45,OUT010,626.1060275257095
FDJ07,OUT013,1987.6835223812088
FDQ45,OUT018,2549.5348850184073
FDM33,OUT027,5247.350070598612
FDO15,OUT010,171.90727564476452
FDM46,OUT013,1594.8027057299812
FDR03,OUT045,3446.5069683240426
FDY49,OUT018,2399.5913314426193
FDQ60,OUT045,1998.9760509165928
FDW10,OUT049,2484.4971175723017
FDO51,OUT049,651.3798901534037
FDJ40,OUT018,1599.9623050386408
FDS20,OUT018,2479.6676927582157
FDU45,OUT013,1859.9051765431925
FDV02,OUT035,2788.8134253485014
FDN09,OUT046,3748.4499406829455
NCM55,OUT027,5059.193939499077
FDN23,OUT018,2152.909953589023
FDY31,OUT010,290.6153415329217
FDW03,OUT010,55.7181659043756
FDD14,OUT046,2843.674374389111
FDV23,OUT017,2057.225063360413
DRI03,OUT045,2776.4120437490583
FDN13,OUT035,1497.8807807265175
FDF45,OUT027,1838.4409381839891
FDU46,OUT035,1486.8009253137102
FDB57,OUT049,3524.5080394771126
FDV12,OUT049,1668.021974785708
FDQ58,OUT013,2356.9591971547134
NCA18,OUT017,1791.1497520733433
FDH52,OUT049,1006.0370191362703
FDM24,OUT018,2064.8535536524337
NCP43,OUT027,4546.7261853531
NCO18,OUT019,487.35309789022114
FDM32,OUT017,1469.7275168808326
NCL07,OUT017,707.3090913130952
FDK03,OUT013,3700.123752260257
FDP59,OUT017,1563.6865724122324
FDQ24,OUT049,3855.0276378660783
FDQ16,OUT018,1573.9047408776257
FDU44,OUT013,3050.338187724159
FDH28,OUT010,51.826996956496075
FDV28,OUT019,29.922469602494246
FDM22,OUT045,948.4879493665821
FDR56,OUT046,3133.3858819177735
FDV39,OUT049,3192.0063693756065
FDU37,OUT019,-1.1013308840670248
FDQ11,OUT010,906.9537755449896
FDX02,OUT045,3554.409167711099
NCS42,OUT018,1186.3169715770782
FDY57,OUT027,2750.602345684498
FDB21,OUT049,3924.209766327983
FDE28,OUT017,3831.417585865022
FDQ55,OUT017,1973.4259009411605
FDA48,OUT049,3522.2436393333714
FDZ19,OUT045,2696.4622924083774
NCC43,OUT045,3777.253272926697
NCV18,OUT046,1529.9896181813788
NCA42,OUT018,2664.82163608845
FDY45,OUT046,3969.981127614086
NCC30,OUT045,2863.1442397659425
FDM57,OUT013,1316.0692172733618
FDL09,OUT010,495.96575564723975
FDB09,OUT027,2920.290306270855
FDT44,OUT035,1963.4649565567545
NCT06,OUT027,4225.226932113789
FDX26,OUT049,2877.4281648205515
FDK32,OUT013,2570.532319119785
DRA12,OUT046,2338.351081323649
FDO46,OUT010,657.0308077451405
FDE52,OUT013,1442.4408309230496
NCH42,OUT045,3824.828246691549
FDV08,OUT035,563.2345210953754
FDB47,OUT018,3152.8472359302
FDC28,OUT010,-103.44560356428158
FDD22,OUT046,1752.3812809760175
FDS07,OUT027,3382.9133073036046
DRI13,OUT045,3458.3308919940923
FDG32,OUT018,3312.3813718340894
FDU14,OUT017,3926.7823146697406
FDD28,OUT019,68.19531970720425
NCP41,OUT017,1828.8519459096074
FDS08,OUT049,2670.1041018939795
FDX47,OUT045,2628.434911757048
FDC53,OUT019,-89.96634902944058
FDQ19,OUT035,3781.9025243937863
FDL14,OUT045,2398.1999070548595
FDM33,OUT019,667.68604543465
FDA51,OUT045,1839.9336969123985
FDZ27,OUT018,522.7477219822279
FDT04,OUT046,732.6988908894333
DRC13,OUT049,1950.924014651179
FDR16,OUT027,5231.632545361269
FDQ03,OUT027,5926.634220726587
FDE38,OUT035,2676.875107513208
DRH23,OUT027,1733.315059765251
FDT11,OUT019,716.2655233037241
FDD09,OUT035,3283.5492096767557
FDR40,OUT045,1557.5489674876003
FDX07,OUT017,2906.4690801158667
FDR07,OUT035,1559.4874925135418
FDA51,OUT017,1966.219023713067
FDT59,OUT019,825.4630789459994
FDF20,OUT017,3275.261969480766
FDR13,OUT045,1716.7833856162836
FDY26,OUT049,3093.62859521709
FDW04,OUT017,2221.5977710569605
FDK52,OUT017,3594.3703059868026
FDN60,OUT049,2649.601685651187
FDM09,OUT019,364.70096189004136
FDP46,OUT049,1544.6541001036285
FDB50,OUT019,151.0727534238474
NCQ29,OUT049,3800.733939930697
FDP16,OUT027,5646.501021313909
FDX33,OUT018,2397.7781650762126
FDP07,OUT010,675.8430139067398
FDN22,OUT046,3859.915267178938
FDF39,OUT049,3993.13449284801
FDS21,OUT017,1020.7072249917626
NCM42,OUT013,1935.8034358076995
FDK50,OUT019,560.0080357122276
DRF13,OUT027,4000.973371304285
FDH35,OUT018,2399.100106378184
FDP60,OUT018,1569.191257641944
DRJ49,OUT027,3650.960081812374
NCT42,OUT019,245.89938000005753
FDE38,OUT049,2660.409761048124
FDI04,OUT049,3435.509160457361
NCH54,OUT045,2785.569935033985
FDT56,OUT049,920.4950764080805
DRD15,OUT018,3502.6279103538727
FDV58,OUT013,2804.5764757800976
FDP21,OUT049,3401.6195050350616
FDH05,OUT013,3741.9019129667804
FDR10,OUT027,4330.44864916485
NCP06,OUT045,2180.764950468357
FDF33,OUT049,1885.793491546596
DRK37,OUT013,3384.625654119446
DRH49,OUT045,1237.1495243018508
FDT58,OUT013,2669.4201544196258
FDD41,OUT018,1424.9704424155439
FDP40,OUT018,1749.3553099985222
FDM51,OUT027,2404.1938337770084
FDO45,OUT010,167.70428623795598
FDW33,OUT010,15.948023217385838
FDY24,OUT045,1161.3589829258906
FDB10,OUT010,720.7888565192881
FDM40,OUT035,2268.521428944584
NCI06,OUT017,3053.5155452029717
FDW12,OUT019,378.3835183865129
FDX48,OUT027,4343.111063191177
NCW05,OUT027,3078.982166946589
FDX27,OUT017,1546.8809213094498
DRM37,OUT045,3381.253829164973
FDA38,OUT045,3401.90086531848
FDR36,OUT046,489.2520215808168
FDZ45,OUT046,3269.683766640106
FDG05,OUT017,2651.379716704308
FDK28,OUT013,4331.930205703455
FDV47,OUT045,1434.5246506132942
FDN21,OUT045,2376.6581799207797
FDP20,OUT027,3140.903868282567
FDI35,OUT045,3250.9720072003242
DRY23,OUT013,618.4073704936335
FDA56,OUT017,2192.5150262764137
FDB09,OUT013,1963.7053092604533
NCO26,OUT027,3384.8797442584814
FDQ49,OUT018,2334.3111982253954
FDI52,OUT027,2888.7271898558897
FDZ44,OUT027,3107.747554645029
FDZ09,OUT018,2463.9206647911305
FDY03,OUT049,1859.0992989452975
NCG42,OUT017,2163.134753779879
DRI13,OUT027,5424.886391247014
FDQ32,OUT013,2124.6679075704656
FDW16,OUT035,1497.2514963177046
FDU27,OUT046,817.4448467495174
FDR28,OUT010,677.2898269260772
FDQ49,OUT010,559.144713461492
FDS37,OUT046,1865.8588978832913
FDW26,OUT018,2914.6464631292374
FDX12,OUT018,3572.09898782262
NCP06,OUT013,2210.3464101323198
FDW45,OUT010,432.56478664609057
NCN30,OUT049,1579.0534717613298
FDN24,OUT049,947.3630514743571
NCL41,OUT027,844.0565041303826
FDR02,OUT019,330.6532051049031
FDD09,OUT010,639.9955135955954
FDS33,OUT010,-188.63540416081443
FDU22,OUT045,1980.659150491807
FDI53,OUT013,2536.627583067996
DRH01,OUT049,2828.314398391915
FDX32,OUT013,2540.5873587622687
NCP30,OUT018,728.9019259861332
FDB60,OUT045,3032.521284519652
FDB14,OUT049,1471.144159746599
NCP02,OUT035,1063.942070734976
FDJ10,OUT017,2384.360202506182
FDG34,OUT046,1797.5921952044635
NCB18,OUT017,1413.3802341920455
FDM16,OUT049,1376.0681659386269
FDW25,OUT018,1483.3422215493536
FDB35,OUT010,88.989640245873
DRN11,OUT013,2333.834577679972
FDF41,OUT019,975.9512393667095
FDH16,OUT045,1429.745507179039
NCQ50,OUT018,3043.684285970155
DRH23,OUT018,907.93516516129
DRJ37,OUT013,2492.0791773967076
DRJ24,OUT027,4550.413081450906
FDY16,OUT035,2921.083273695778
FDQ27,OUT045,1991.032238970313
FDZ33,OUT045,2377.467541038603
FDF29,OUT045,2435.2185058060995
FDA08,OUT049,2561.4109181355334
FDG31,OUT046,996.715742211663
FDE34,OUT019,519.062339016456
NCR30,OUT027,2124.832326423151
FDV33,OUT035,4075.5850256377666
DRZ24,OUT018,1845.5675865237024
NCL54,OUT035,3077.1318000395195
FDR12,OUT049,3012.4602588306116
NCC54,OUT046,3853.937177967219
DRN59,OUT013,724.9939417412684
FDX50,OUT019,388.6098206397018
FDV31,OUT027,4704.5509684369945
NCA29,OUT027,4862.176841434317
FDW60,OUT049,2940.3221892088604
FDX08,OUT017,3202.561223961805
DRD49,OUT013,3886.1700437056797
FDD33,OUT046,3605.571884472613
FDW35,OUT013,666.3886220838633
FDJ36,OUT017,1677.3006036983943
FDV51,OUT035,2679.7744975510795
FDW36,OUT046,1733.133385119571
FDH35,OUT046,2691.6184207367205
NCS30,OUT027,3228.4504047012115
FDN49,OUT017,712.3786488867601
FDL08,OUT018,3526.7034320395965
FDI09,OUT013,3767.00521746941
FDP19,OUT018,1766.3499817271063
FDU21,OUT010,-15.748827388647578
NCP41,OUT045,1725.8484056174907
FDY10,OUT013,1857.994140387512
FDP12,OUT018,384.08724940343393
NCN26,OUT049,1780.844423438097
FDK44,OUT013,2730.488918065974
FDC28,OUT049,1838.879590575687
FDJ41,OUT027,6353.949283851202
NCT29,OUT035,2054.480297320133
NCH42,OUT019,763.9013895949561
FDU60,OUT018,2334.3111982253954
FDS02,OUT045,2933.9133526326377
FDC51,OUT046,2019.1432314671245
FDU03,OUT013,2804.275204645355
FDX39,OUT045,3505.129990875722
NCY05,OUT010,-26.63373473914716
NCL06,OUT027,6002.123533555194
FDD32,OUT035,1341.5312585126112
NCN41,OUT045,2043.5135890727497
NCX53,OUT049,2264.3524897898074
FDU57,OUT019,428.48207543711084
FDQ23,OUT046,1954.3915532100034
FDQ52,OUT045,3946.567333172085
FDC14,OUT045,686.5855543627683
FDY09,OUT035,2995.4306153072343
FDQ28,OUT045,2803.765902507971
FDV25,OUT046,3933.35069016655
FDJ07,OUT035,1994.5255815053865
DRB25,OUT049,1660.0068498465496
FDK52,OUT019,875.2060332820481
FDY52,OUT027,2188.4324859256626
FDB28,OUT046,3101.4419554977776
FDT36,OUT035,568.0434997188477
FDV25,OUT017,3691.5996878608776
NCN07,OUT027,3214.698160474132
FDC57,OUT017,3156.666410608831
FDQ03,OUT018,3452.868227133382
FDU23,OUT017,3099.3882242214736
NCX41,OUT035,3389.268050447857
NCD06,OUT035,730.0603533259875
FDW08,OUT045,1922.7549768348376
NCU29,OUT017,2460.8529219115176
NCE06,OUT013,2397.4392730564014
FDV52,OUT010,387.89239968706795
FDB02,OUT017,2764.1671317745013
NCR18,OUT045,690.3709911359449
FDK16,OUT049,1601.7189233929164
NCQ29,OUT010,760.0180592608773
FDZ01,OUT019,-12.540902872655025
FDW27,OUT035,2419.5166139426487
FDD17,OUT018,3439.1096233749763
FDW39,OUT013,2697.504665372467
DRH59,OUT045,1142.195685953043
FDS52,OUT013,1721.1444372262388
FDU40,OUT027,5575.56250384857
NCF54,OUT013,2762.4357487199145
FDH46,OUT045,1651.0389257347251
NCP14,OUT049,1830.5407396850171
FDH50,OUT049,3144.2555821419546
DRF15,OUT010,427.691855992157
FDV27,OUT027,2655.249551220493
NCJ06,OUT049,1867.3981055138806
FDN02,OUT018,3001.307761560338
FDQ51,OUT049,746.4086905769099
FDQ07,OUT017,3693.1978272305514
FDS45,OUT049,2082.325968797896
NCJ06,OUT045,1837.816645849918
FDD36,OUT035,2266.4843468240724
FDY25,OUT045,3082.748501547513
FDU52,OUT046,2614.6703177629447
DRK47,OUT017,3901.288875334011
NCL30,OUT017,2142.4675245153085
FDN22,OUT035,3927.887473227526
NCF30,OUT027,3050.9313642894635
FDK03,OUT035,4005.057154954789
FDT45,OUT017,876.5263415665087
